feor_code,feor_name,teaor_A,teaor_B,teaor_C,teaor_D,teaor_E,teaor_F,teaor_G,teaor_H,teaor_I,teaor_J,teaor_K,teaor_M,teaor_N,teaor_O,teaor_P,teaor_Q,teaor_R,teaor_S
0110,Fegyveres szervek felsőfokú képesítést igénylő foglalkozásai Fegyveres szervek középfokú képesítést igénylő foglalkozásai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0210,Fegyveres szervek középfokú képesítést igénylő foglalkozásai Fegyveres szervek középfokú képesítést nem igénylő foglalkozásai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0310,Fegyveres szervek középfokú képesítést nem igénylő foglalkozásai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1110,"Törvényhozó, miniszter, államtitkár",0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1121,"Országos és területi közigazgatás, igazságszolgáltatás vezetője",0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1122,Helyi önkormányzat választott vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1123,Helyi önkormányzat kinevezett vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1131,Társadalmi (érdek-képviseleti) és egyéb szervezet vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1132,Egyházi vezető,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1210,"Gazdasági, költségvetési szervezet vezetője (igazgató, elnök, ügyvezető igazgató)",0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.05,0.45,0.05,0.05,0.05,0.05
1311,"Mezőgazdasági, erdészeti, halászati és vadászati tevékenységet folytató egység vezetője",0.85,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1312,Ipari tevékenységet folytató egység vezetője,0.0,0.05,0.75,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1313,Építőipari tevékenységet folytató egység vezetője,0.0,0.0,0.1,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1321,"Szállítási, logisztikai és raktározási tevékenységet folytató egység vezetője",0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0
1322,Informatikai és telekommunikációs tevékenységet folytató egység vezetője,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
1323,Pénzintézeti tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.1,0.05,0.0,0.0,0.0,0.0,0.0
1324,Szociális tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.8,0.0,0.0
1325,Gyermekgondozási tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.7,0.0,0.0
1326,Idősgondozási tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.8,0.0,0.0
1327,Egészségügyi tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.9,0.0,0.0
1328,Oktatási-nevelési tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.85,0.05,0.0,0.0
1329,Egyéb szolgáltatást nyújtó egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.15,0.35
1331,Szálláshely-szolgáltatási tevékenységet folytató egység vezetője,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
