settlement_norm,total_workers
aba,1106
abadszalok,958
abaliget,10
abasar,335
abaujker,11
abaujszanto,442
abaujvar,11
abda,716
abony,7056
abrahamhegy,69
acs,2186
acsa,38
acsad,14
acsalag,17
acsteszer,7
adacs,257
adand,175
adasztevel,34
adony,1122
agasegyhaza,135
agfalva,343
aggtelek,30
agyagosszergeny,93
ajak,579
ajka,19398
aka,5
akaszto,605
alacska,12
alap,183
alattyan,153
albertirsa,6491
alcsutdoboz,113
aldebro,29
algyo,1598
almamellek,5
almasfuzito,127
almaskamaras,29
almosd,111
alsoberecki,5
alsonana,5
alsonemedi,2183
alsonemesapati,23
alsonyek,48
alsoors,358
alsopahok,168
alsorajk,7
alsoszentivan,32
alsoszentmarton,28
alsotelekes,7
alsotold,15
alsoujlak,12
alsovadasz,63
alsozsolca,1239
ambrozfalva,5
anarcs,160
andocs,24
andornaktalya,482
annavolgy,39
apagy,280
apaj,55
aparhant,64
apatfalva,436
apc,236
aporka,110
apostag,244
aranyosapati,89
aranyosgadany,7
arlo,394
arnot,348
arokto,20
arpadhalom,14
arpas,9
artand,13
asotthalom,706
asvanyraro,297
aszalo,88
aszar,106
aszod,2037
aszofo,28
atany,28
atkar,176
attala,22
babarc,22
babocsa,14
babolna,715
babonymegyer,19
babosdobrete,11
babot,82
bacsalmas,1853
bacsbokod,258
bacsborsod,43
bacsszolos,6
badacsonytomaj,527
badacsonytordemic,53
bag,822
bagamer,205
bagod,48
bagyogszovat,100
baj,613
baja,27138
bajna,204
bajot,110
bak,132
bakonszeg,58
bakonybank,6
bakonybel,104
bakonycsernye,418
bakonyjako,16
bakonykuti,5
bakonynana,30
bakonypeterd,6
bakonypoloske,7
bakonysarkany,9
bakonyszentivan,5
bakonyszentkiraly,29
bakonyszentlaszlo,133
bakonyszombathely,53
bakonytamasi,12
baks,203
baksa,41
baktakek,12
baktaloranthaza,537
baktuttos,6
balassagyarmat,6879
balastya,967
balaton,20
balatonakali,99
balatonakarattya,87
balatonalmadi,4866
balatonbereny,129
balatonboglar,1889
balatoncsicso,12
balatonederics,107
balatonendred,129
balatonfenyves,273
balatonfokajar,111
balatonfoldvar,551
balatonfured,7845
balatonfuzfo,1459
balatongyorok,197
balatonhenye,12
balatonkenese,670
balatonkeresztur,296
balatonlelle,2034
