gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Feldolgozóipar|Budapest|4|C
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Építőipar|Budapest|7|F
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Kereskedelem, gépjárműjavítás|Budapest|5|G
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szállítás, raktározás|Budapest|5|H
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szálláshely-szolgáltatás, vendéglátás|Budapest|6|I
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Információ, kommunikáció|Budapest|2|J
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Ingatlanügyletek|Budapest|1|L
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|4|N
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Oktatás|Budapest|4|P
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Humán-egészségügyi, szociális ellátás|Budapest|1|Q
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Művészet, szórakoztatás, szabad idő|Budapest|4|R
Férfi|15–19 éves|Általános iskola 8. évfolyamnál alacsonyabb|Egyéb szolgáltatás|Budapest|1|S
Férfi|15–19 éves|Általános iskola 8. évfolyam|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|8|A
Férfi|15–19 éves|Általános iskola 8. évfolyam|Bányászat, kőfejtés|Budapest|1|B
Férfi|15–19 éves|Általános iskola 8. évfolyam|Feldolgozóipar|Budapest|91|C
Férfi|15–19 éves|Általános iskola 8. évfolyam|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|7|D
Férfi|15–19 éves|Általános iskola 8. évfolyam|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|11|E
Férfi|15–19 éves|Általános iskola 8. évfolyam|Építőipar|Budapest|165|F
Férfi|15–19 éves|Általános iskola 8. évfolyam|Kereskedelem, gépjárműjavítás|Budapest|284|G
Férfi|15–19 éves|Általános iskola 8. évfolyam|Szállítás, raktározás|Budapest|140|H
Férfi|15–19 éves|Általános iskola 8. évfolyam|Szálláshely-szolgáltatás, vendéglátás|Budapest|459|I
Férfi|15–19 éves|Általános iskola 8. évfolyam|Információ, kommunikáció|Budapest|32|J
